earthquake_date,latitude,key_2,longitude,decg,dbhg,decr,dbhr,mfig,mfir,mdig,mdir,time,magnitude
2018-01-23 09:31:40.890,56.0039,2018-01-23,-149.1658,0.188,0.0,0.062,0.0,113.8,16.8,0.072,0.015,2018-01-23 09:31:40.890,7.9
2018-01-14 09:18:45.540,-15.7675,2018-01-14,-74.7092,0.14,0.0,0.028,0.0,59.8,35.0,0.279,0.02,2018-01-14 09:18:45.540,7.1
2018-01-10 02:51:33.290,17.4825,2018-01-10,-83.52,0.124,0.0,0.031,0.0,95.3,11.9,0.134,0.02,2018-01-10 02:51:33.290,7.5
2017-11-19 22:43:29.250,-21.3246,2017-11-19,168.6715,0.106,0.0,0.044,0.0,96.1,12.2,0.111,0.027,2017-11-19 22:43:29.250,7.0
2017-11-12 18:18:17.180,34.9109,2017-11-12,45.9592,0.186,0.0,0.033,0.0,158.1,11.0,0.16,0.02,2017-11-12 18:18:17.180,7.3
2011-03-11 05:46:24.120,38.297,2011-03-11,142.373,0.117,0.0,0.033,0.0,100.8,10.8,0.104,0.02,,9.1
2004-12-26 00:58:53.450,3.295,2004-12-26,95.982,0.135,0.0,0.028,0.0,101.4,41.3,0.266,0.02,,9.1
1964-03-28 03:36:16.000,60.908,1964-03-28,-147.339,0.238,0.0,0.088,0.0,121.5,36.2,0.069,0.048,,9.2
1960-05-22 19:11:20.000,-38.143,1960-05-22,-73.407,0.217,0.0,0.039,0.0,112.1,13.9,0.288,0.029,,9.5
1952-11-04 16:58:30.000,52.623,1952-11-04,159.779,0.184,0.0,0.057,0.0,132.6,11.6,0.097,0.02,,9.0
2022-12-28 16:34:19.271000,-21.2566,2022-12-28,171.3773,0.109,0.0,0.044,0.0,98.4,12.7,0.117,0.028,,6.1
2022-12-20 10:34:24.770000,40.525,2022-12-20,-124.423,0.155,0.0,0.048,0.0,112.8,9.8,0.088,0.018,,6.4
2022-12-14 18:40:26.898000,51.6079,2022-12-14,178.5971,0.211,0.0,0.049,0.0,151.0,10.0,0.119,0.017,,6.3
